,Injection_Time,Filling_Time,Plasticizing_Time,Cycle_Time,Clamp_Close_Time,Cushion_Position,Plasticizing_Position,Clamp_Open_Position,Max_Injection_Speed,Max_Screw_RPM,Average_Screw_RPM,Max_Injection_Pressure,Max_Switch_Over_Pressure,Max_Back_Pressure,Average_Back_Pressure,Barrel_Temperature_1,Barrel_Temperature_2,Barrel_Temperature_3,Barrel_Temperature_4,Barrel_Temperature_5,Barrel_Temperature_6,Hopper_Temperature,Mold_Temperature_3,Mold_Temperature_4
114610,1.346829273867757,-2.7688617789736796,0.9619093154581316,1.8432941096394182,1.0297667541572235,1.0311110810577593,0.8498192925078699,0.8618540096913753,2.4891882813497648,1.0251355052408546,1.0315479540334047,0.49488612609112165,0.345151974157955,0.1833512772834602,0.2215788845565206,1.01509275136142,0.9198762381793331,0.8463802532286926,0.6370225502158261,2.099671156196265,1.0252405408927883,-0.5515658888455397,0.7564347068571882,0.6008097685571577
114688,1.3600462592266391,-2.7203058283969344,0.9632796759700566,1.8479559598621915,1.0297667541572235,1.031048170473524,0.8635594056686837,0.8618540096913753,2.4468770456742783,1.0251355052408546,1.0315479540334047,0.49789563355200445,0.3482301948860825,0.201285801647788,0.2284186052578241,1.0202207822526626,0.9886153703120094,0.8744528930853289,0.7031091183731634,2.099671156196265,1.0744945661636844,-0.5034595852900848,0.8185668334941332,0.7006198878572292
114919,1.3556405974403454,-2.7203058283969344,0.9660203969939074,1.8432941096394182,1.0297667541572235,1.0310796257656416,0.8642464113267238,0.8618540096913753,2.4468770456742783,1.0251355052408546,1.0315479540334047,0.49789563355200445,0.35130841561420995,0.17139492770724177,0.2215788845565206,1.0143601755198142,0.8625936280687716,0.8744528930853289,0.6370225502158261,2.293881542649945,0.9759865156218922,-0.5996721924009935,0.694302580220243,0.5741937367438051
115304,1.3600462592266391,-2.7203058283969344,0.9605389549462062,1.8432941096394182,1.0297667541572235,1.0311425363498767,0.8642464113267238,0.8618540096913753,2.455339292809375,1.0251355052408546,1.0315479540334047,0.49789563355200445,0.33283909124544425,0.1833512772834602,0.2215788845565206,1.0172904788862382,0.9198762381793331,0.9446344927269237,0.7857173285698396,2.099671156196265,1.0580765577400493,-0.5996721924009935,0.5312057477982626,0.3945355220036765
115582,1.3600462592266391,-2.7203058283969344,0.9673907575058323,1.8479559598621915,1.0297667541572235,1.031048170473524,0.8649334169847648,0.8618540096913753,2.4468770456742783,1.0186442186168643,1.0315479540334047,0.49789563355200445,0.3266826497891889,0.16541675291913263,0.2215788845565206,1.0187556305694503,0.8511371060466567,0.9165618528702875,0.6700658342944947,2.177355310777744,0.9924045240455274,-0.5996721924009935,0.5855713586055894,0.4344595697237052
115743,1.3556405974403454,-2.73649114525585,0.9619093154581316,1.8432941096394182,1.0297667541572235,1.0311425363498767,0.8642464113267238,0.8618540096913753,2.4638015399444733,1.0186442186168643,1.0315479540334047,0.49488612609112165,0.3297608705173168,0.14748222855480486,0.21815902420586886,1.0238836614606928,0.8855066721129949,0.9165618528702875,0.6205009081764871,2.2744605040045838,0.9595685071982617,-0.6157076269194784,0.48460665282055365,0.34795746633030983
115784,1.3556405974403454,-2.7203058283969344,0.9673907575058323,1.8432941096394182,1.0297667541572235,1.0311425363498767,0.8642464113267238,0.8618540096913753,2.455339292809375,1.0121529319928737,1.0315479540334047,0.49789563355200445,0.3297608705173168,0.1594385781310233,0.21815902420586886,1.01509275136142,0.8969631941351098,0.8884892130136511,0.6205009081764871,2.099671156196265,1.0088225324691578,-0.5515658888455397,0.5855713586055894,0.4344595697237052
116725,1.4217255242347528,-2.4937113923721257,0.9989090492801118,1.855725710233481,1.0347389793268935,1.031016715181406,0.9336339827888324,0.8618540096913753,2.303018844377624,1.0186442186168643,1.0322319299414489,0.5099336633955367,0.345151974157955,0.18932945207156954,0.2215788845565206,1.0216859339358746,0.8511371060466567,0.9165618528702875,0.736152402451832,2.099671156196265,1.0580765577400493,-0.7760619721043259,0.38364194703551796,0.26145536293691446
143072,-0.4991430145893765,1.9734360606883854,-0.9319289120224857,-0.7082919122917956,-0.7602343069238541,-0.9663314237040617,-0.8663208412777392,-0.22982984516172306,-0.6503054057713337,-0.9676894883242402,-0.9697655529045963,-0.8894873059150674,-0.9292314072868901,-0.8986983593643135,-0.9377537743144017,-0.969455203549331,-0.3059716181866806,0.2147458564543394,0.6039792661371481,1.128619223927866,0.9924045240455274,-0.5676013233640247,-0.9521987756588,-0.9362660686639437
143076,-0.4991430145893765,1.9734360606883854,-0.9456325171417376,-0.7082919122917956,-0.7602343069238541,-0.9663314237040617,-0.8731908978581461,-0.22898814596754158,-0.42182473312370694,-0.9676894883242402,-0.9697655529045963,-0.8864777984541845,-0.9261531865587627,-0.9046765341524228,-0.9377537743144017,-0.969455203549331,-0.3059716181866806,0.20070953652601728,0.6039792661371481,1.128619223927866,1.0088225324691578,-0.5676013233640247,-0.9521987756588,-0.9362660686639437
